color_bias,color_balance,white_R,white_G,white_B,mean_brightness_normalized,kurtosis_normalized,dark_ratio_normalized,lap_var,entropy_value,reblur_value,Class,image_name
0.3658806085586548,0.5978594662309369,0.11955882352941177,0.6403498039215686,0.8058494117647059,0.41563393246187363,0.6062845587730408,0.0867222249507904,0.018999777295524687,0.8416309356689453,0.011484488017429195,blur,100_img_.png
0.1546574831008911,0.4212223413671024,0.09128666666666665,0.5502819607843137,0.6337066666666666,0.482776177832244,2.8212146759033203,0.02044270746409893,0.0020869184027024253,0.8071285486221313,0.004645714188453159,blur,10139.png
0.07550162076950073,0.19980424496187366,0.16989529411764706,0.4233349019607843,0.43358431372549017,0.35999160879629627,4.108249664306641,0.29245659708976746,0.0018255685382419162,0.8881756067276001,0.0036665134803921568,blur,10151.png
0.09132421016693115,0.21666514439484788,0.4252854901960784,0.6636976470588235,0.5178003921568627,0.5301848627254558,0.32622024416923523,0.029336338862776756,0.0015099768102569177,0.9127835035324097,0.0015718487745711859,blur,101_img_.png
0.6329730749130249,0.32952655548577675,0.04128588235294118,0.3471105882352941,0.2790780392156863,0.3396807852441095,0.4623299539089203,0.4356393814086914,0.001727383130878957,0.935295045375824,0.0024058335077803365,blur,102_img_.png
0.10932791233062744,0.4899641777777778,0.17508745098039216,0.3975329411764706,0.6495705882352941,0.4030035973856209,0.7997498512268066,0.03381200134754181,0.0013548066666222225,0.810791552066803,0.0009415320261437908,blur,104_img_.png
0.699575662612915,0.47015995784827364,0.033549019607843136,0.5597203921568628,0.2956207843137255,0.400597745943062,0.5838757157325745,0.052177343517541885,0.001756109498168476,0.8548247814178467,0.0020016546982716244,blur,105_img_.png
0.16005319356918335,0.14688270944741535,0.18072901960784316,0.27019882352941177,0.32364588235294117,0.2412058229352347,2.321024179458618,0.6013787984848022,0.004206439282828282,0.8005504608154297,0.011496316102198456,blur,106_img_.png
0.8581026792526245,0.6772453437394613,0.007112941176470588,0.3452305882352941,0.6288984313725491,0.34708071493953846,0.3876408636569977,0.18810810148715973,0.0016312678120845886,0.8674087524414062,0.0016478296478296477,blur,107_img_.png
0.050635337829589844,0.2917245979036776,0.46358235294117645,0.6987721568627452,0.7472588235294118,0.5945105719707238,1.0168473720550537,0.022816820070147514,0.0014079521560154044,0.8016097545623779,0.0019715031173759825,blur,108_img_.png
0.08939611911773682,0.06346107366557735,0.37980901960784313,0.4594066666666667,0.4364454901960784,0.39576628880718956,0.5510730147361755,0.10877170413732529,0.008421240917893398,0.8404220938682556,0.010104728349673202,blur,10909.png
0.09913963079452515,0.3536418334694989,0.1745494117647059,0.4998435294117647,0.6758992156862745,0.40708796296296296,1.0411773920059204,0.020455729216337204,0.0011622699652589397,0.7396330833435059,0.001573665577342048,blur,10945.png
