Image,Background Light
image00.png,0.2371831647338677
image01.png,0.11958710959911067
image02.png,0.9640535346671941
image04.png,0.6334241136437182
image_001.png,0.8210992838541666
image_002.png,0.2076630979213624
image_003.png,0.7633632673487545
image_004.png,0.7931499905056424
image_005.png,0.6758903958333333
image_006.png,0.7945084519886203
image_007.png,0.9632523418304668
image_008.png,0.9675436549584566
image_009.png,0.8265430947580645
image_010.png,0.17697331357758617
image_011.png,0.8614572290239413
image_012.png,0.8925654179216868
image_013.png,0.5237826198045222
image_014.png,0.07293535868326828
image_015.png,0.07902534484863277
image_016.png,0.8248499973077225
image_017.png,0.13004857381184898
image_018.png,0.7552414872911242
image_019.png,0.8265619489881728
image_020.png,0.813916269938151
image_021.png,0.7191708882649739
image_022.png,0.11940437316894537
image_023.png,0.6810157436794705
image_024.png,0.4771627892388238
image_025.png,0.7774495273166233
image_026.png,-0.09097915649414068
image_027.png,0.5945885976155598
image_028.png,0.52230834113227
image_029.png,0.533923485599347
image_030.png,0.146238759358724
image_031.png,-0.06255327860514326
image_032.png,0.5528656175401476
image_033.png,0.9729967830882353
image_034.png,0.1268850453694661
image_035.png,0.2912928009033203
image_036.png,0.02660512288411454
image_037.png,0.4781602986653646
image_038.png,0.028669713338216107
image_039.png,0.9876938112745098
image_040.png,0.6916146481458437
image_041.png,0.6831927135347315
image_042.png,0.20409622192382815
image_043.png,0.9849598216155994
image_044.png,0.8316009344362745
image_045.png,0.1296284739176432
image_046.png,0.17705423990885416
image_047.png,0.97634033203125
image_048.png,0.0814488220214844
image_049.png,0.1693089294433594
image_050.png,0.09619516160753039
image_051.png,0.03846249898274745
image_052.png,0.05592476738823782
image_053.png,0.13569621615939675
image_054.png,0.18521279229058163
image_055.png,0.2645778062608507
image_056.png,0.31115068223741316
image_057.png,0.12271682739257816
image_058.png,-0.0028190104166667673
image_059.png,0.03845978630913627
image_060.png,0.2537777455647786
image_061.png,0.6444619565217391
image_062.png,0.07513046264648438
image_063.png,0.7494866943359375
image_064.png,0.5346123250325521
image_065.png,0.9864170478260235
image_066.png,0.42588776578608245
image_067.png,0.050403823852539054
image_068.png,0.35888484374999996
image_069.png,0.5010572899712457
